Manual Score,Manual Hospital Address,address_py,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance,BWTRLENCD Distance,Monge Elkan Distance*10
0.45,"2nd Floor, Madhav Complex, Near Police Station, Sanand, Ahmedabad, Gujarat","NH947, Telav, Sanand Taluka, Ahmedabad District, Gujarat, 382210, India",0.175675676,0.664263126,0.576086957,0.731190997,0.005752374,0.086956522,0.05752374
0.2,"Near Lal Dawara, Opposite Hanuman Mandir, Railway Station Road, Yamuna Nagar, Haryana","NH334, Khatauli, Muzaffarnagar, Uttar Pradesh, 251201, India",0.235294118,0.540548014,0.394230769,0.574114834,0.004636678,0.050632911,0.04636678
0.56,"Madurai, Tamil Nadu","Lee Kidney Care, Puravazhi Salai, Ellis Nagar, Madakkulam, Madurai, Madurai South, Madurai District, Tamil Nadu, 625010, India",0.150793651,0.567112225,0.150793651,0.388321582,0.026315789,0.074766355,0.26315789
0.4,"Ramnathi, Nabbe Chauraha, Bhiti, Handia, Allahabad, Uttar Pradesh","Baraut, Handia, Prayagraj, Uttar Pradesh, India",0.369230769,0.663816148,0.555555556,0.72369302,0.006508876,0.161290323,0.06508876
0.6,"Near Pachamba High School, Pachamba, Giridh, Jharkhand","Kaushal Clinic & Ultrasound, Giridih-Jamua Road, Mohanpur, Bhandāridih, Giridih, Jharkhand, 815316, India",0.304761905,0.575132275,0.358974359,0.557773351,0.007716049,0.076086957,0.07716049
0.7,"Seepat Chowk Sarkanda, Bilaspur, Chhattisgarh","seepat road, Bilaspur, Bilaspur Tahsil, Bilaspur, Chhattisgarh, 495004, India",0.454545455,0.638966102,0.469879518,0.662541349,0.009876543,0.213114754,0.09876543
0.4,"Near DPS School Baloda Bazar Road, Semariya, Raipur, Chhattisgarh","NH130B, Raipur, Raipur Tahsil, Raipur, Chhattisgarh, 493332, India",0.227272727,0.604318987,0.455555556,0.625972437,0.00591716,0.140625,0.0591716
0.6,"Baspaipara, Rajnandgaon, Chhattisgarh","Gol Bazar, Basantpur, Rajnandgaon, Rajnandgaon Tahsil, Rajnandgaon, Chhattisgarh, 491441, India",0.357894737,0.635825299,0.375,0.607211287,0.013513514,0.205128205,0.13513514
0.6,"331/2 Dehradun Road Rishikesh Uttarakhand, Dehradun, Uttarakhand","Adarsh Gram, Rishikesh, Dehradun, Uttarakhand, 249201, India",0.3125,0.669560185,0.61038961,0.758459239,0.007324219,0.338983051,0.07324219
0.55,"3rd Floor, Above Apollo City Center, CMD Chowk, Bilaspur, Chhattisgarh","rasoi inn, mission hospital road, Bilaspur, Bilaspur Tahsil, Bilaspur, Chhattisgarh, 495001, India",0.357142857,0.59047619,0.411764706,0.591607978,0.005714286,0.048780488,0.05714286
0.7,"117/N/8, Kanpur Nagar, Uttar Pradesh","Kanpur, Kanpur Nagar, Uttar Pradesh, 208012, India",0.56,0.657254151,0.563636364,0.730677007,0.012731481,0.244897959,0.12731481
0.7,"Jakhalabandha Road, Nagaon, Assam","Jakhalabandha FRU, NH715, Kaliabor, Nagaon, Assam, 782136, India",0.484375,0.850189394,0.515625,0.718070331,0.015151515,0.166666667,0.15151515
0.7,"Chandwa Near Indian Oil Ranchi Road, Latehar, Jharkhand","NH39, Kusumtoli, Chandwa, Latehar, Jharkhand, 829203, India",0.254237288,0.644736807,0.540540541,0.702186767,0.008429752,0.137254902,0.08429752
0.65,"NH31 Near Bus Stand Gachhi Tola, Begusarai, Bihar","Jivan Suraksha Hospital, NH31, Begusarai, Bihar, 851101, India",0.322580645,0.670073379,0.608695652,0.762000762,0.009579342,0.183333333,0.09579342
0.75,"Kadwa, Katihar, Bihar","Katihar, Bihar, 854101, India",0.310344828,0.661322,0.5625,0.729396809,0.022675737,0.407407407,0.22675737
0,"Outside Delhi Gate Opposite Manjit Palace, Firozpur, Punjab","19, Ivy Street, Branford Center, Branford, New Haven County, Connecticut, 06405, United States",0.20212766,0.508736203,0.296610169,0.469978631,0.005889112,0.046511628,0.05889112
0.65,"Bungkawn Tlang Veng, Aizawl, Mizoram","Aizawl, Tlangnuam, Aizwal, Mizoram, 796190, India",0.428571429,0.628306878,0.517857143,0.69047619,0.012345679,0.204545455,0.12345679
0.6,"126, Sukhdev Nagar, Panipat, Haryana","Jatindera Hospital, Grand Trunk Road, Panipat, Haryana, 132103, India",0.31884058,0.596905912,0.4,0.601929265,0.011574074,0.061538462,0.11574074
